Device: cpu

=== Lambda=0.1 ===
Lambda=0.5 metrics: {'auc': 0.9164625823507808, 'rmse': 0.31651442707765853, 'cal_mse': 0.0018078067283894515, 'ece': 0.0066638520794707655}

=== No-Confidence Ablation ===
[No Confidence] Epoch 1/40  Val KT: 0.5176
[No Confidence] Epoch 2/40  Val KT: 0.4366
[No Confidence] Epoch 3/40  Val KT: 0.3936
[No Confidence] Epoch 4/40  Val KT: 0.3703
[No Confidence] Epoch 5/40  Val KT: 0.3625
[No Confidence] Epoch 6/40  Val KT: 0.3604
[No Confidence] Epoch 7/40  Val KT: 0.3572
[No Confidence] Epoch 8/40  Val KT: 0.3523
[No Confidence] Epoch 9/40  Val KT: 0.3513
[No Confidence] Epoch 10/40  Val KT: 0.3512
[No Confidence] Epoch 11/40  Val KT: 0.3514
[No Confidence] Epoch 12/40  Val KT: 0.3476
[No Confidence] Epoch 13/40  Val KT: 0.3463
[No Confidence] Epoch 14/40  Val KT: 0.3479
[No Confidence] Epoch 15/40  Val KT: 0.3455
[No Confidence] Epoch 16/40  Val KT: 0.3459
[No Confidence] Epoch 17/40  Val KT: 0.3463
[No Confidence] Epoch 18/40  Val KT: 0.3443
[No Confidence] Epoch 19/40  Val KT: 0.3433
[No Confidence] Epoch 20/40  Val KT: 0.3430
[No Confidence] Epoch 21/40  Val KT: 0.3426
[No Confidence] Epoch 22/40  Val KT: 0.3423
[No Confidence] Epoch 23/40  Val KT: 0.3498
[No Confidence] Epoch 24/40  Val KT: 0.3422
[No Confidence] Epoch 25/40  Val KT: 0.3446
[No Confidence] Epoch 26/40  Val KT: 0.3419
[No Confidence] Epoch 27/40  Val KT: 0.3417
[No Confidence] Epoch 28/40  Val KT: 0.3408
[No Confidence] Epoch 29/40  Val KT: 0.3431
[No Confidence] Epoch 30/40  Val KT: 0.3404
[No Confidence] Epoch 31/40  Val KT: 0.3407
[No Confidence] Epoch 32/40  Val KT: 0.3413
[No Confidence] Epoch 33/40  Val KT: 0.3404
[No Confidence] Epoch 34/40  Val KT: 0.3397
[No Confidence] Epoch 35/40  Val KT: 0.3394
[No Confidence] Epoch 36/40  Val KT: 0.3402
[No Confidence] Epoch 37/40  Val KT: 0.3399
[No Confidence] Epoch 38/40  Val KT: 0.3390
[No Confidence] Epoch 39/40  Val KT: 0.3452
[No Confidence] Epoch 40/40  Val KT: 0.3431
No-conf metrics: {'auc': 0.9174663527610538, 'rmse': 0.31597861258610854, 'cal_mse': 0.017304956172607418, 'ece': 0.007153700583232503}

Wrote ablation_results.json
